1.998e+07,1,0.253,19383,17828
1.998e+07,2,0,18829,17344
1.998e+07,3,0.2472,18564,17128
1.998e+07,4,5.2609,18735,17191
1.998e+07,5,11.146,19808,18198
1.998e+07,6,19.736,22133,20761
1.998e+07,7,22.686,25051,23553
1.998e+07,8,23.973,26018,24945
1.998e+07,9,24.444,26486,25516
1.998e+07,10,23.999,26780,25904
1.998e+07,11,24.146,26721,25846
1.998e+07,12,23.694,26477,25646
1.998e+07,13,23.686,26358,25419
1.998e+07,14,23.591,26152,25204
1.998e+07,15,23.451,25709,24814
1.998e+07,16,23.372,25475,24512
1.998e+07,17,23.259,25419,24932
1.998e+07,18,23.152,26743,26699
1.998e+07,19,24.18,28818,27704
1.998e+07,20,23.912,28373,26895
1.998e+07,21,23.655,27183,25520
1.998e+07,22,22.067,24911,23462
1.998e+07,23,22,22134,20974
1.998e+07,24,16.07,20081,18844
1.998e+07,1,18.659,18939,18949
1.998e+07,2,13.384,18330,18405
1.998e+07,3,12.006,18323,18219
1.998e+07,4,12.006,18556,18360
1.998e+07,5,17.583,19736,19329
1.998e+07,6,22.003,21859,22023
1.998e+07,7,25.086,24690,25077
1.998e+07,8,25.492,25746,26367
1.998e+07,9,25.965,26265,26964
1.998e+07,10,25.682,26536,27230
1.998e+07,11,25.496,26656,27050
1.998e+07,12,25.202,26398,26479
1.998e+07,13,24.997,26328,26251
1.998e+07,14,24.898,26347,26112
1.998e+07,15,24.61,25861,25823
1.998e+07,16,24.212,25702,25610
1.998e+07,17,24.178,25736,26089
1.998e+07,18,24.771,26715,27982
1.998e+07,19,25.769,28650,28826
1.998e+07,20,25.973,28105,27896
1.998e+07,21,25.493,26928,26599
1.998e+07,22,24.749,24908,24448
1.998e+07,23,23.571,22270,21952
1.998e+07,24,19.732,20315,19947
1.998e+07,1,17.778,19305,17805
1.998e+07,2,16.926,18681,17175
1.998e+07,3,15.458,18446,17063
1.998e+07,4,15.993,18569,17368
1.998e+07,5,17.37,19629,18131
1.998e+07,6,22.947,21910,19920
1.998e+07,7,24.793,24855,22799
1.998e+07,8,25.953,26007,24693
1.998e+07,9,26.127,26667,25566
1.998e+07,10,26.213,26975,25789
1.998e+07,11,26.456,27053,25876
1.998e+07,12,26.459,26683,25724
1.998e+07,13,26.119,26667,25438
1.998e+07,14,25.793,26322,25295
1.998e+07,15,25.644,25736,24857
1.998e+07,16,25.308,25356,24456
1.998e+07,17,25.262,25345,24103
1.998e+07,18,25.475,26198,24861
1.998e+07,19,26.831,27913,26236
1.998e+07,20,26.764,27140,25250
1.998e+07,21,26.223,25772,24136
1.998e+07,22,25.207,24295,22644
1.998e+07,23,24.176,22070,20589
1.998e+07,24,20.35,20094,18829
1.998e+07,1,18.824,18918,18069
1.998e+07,2,15.843,18256,17399
1.998e+07,3,15.153,17965,17090
1.998e+07,4,15.009,17793,17043
1.998e+07,5,15.246,18225,17385
1.998e+07,6,18.492,18738,17966
1.998e+07,7,17.008,19918,19048
1.998e+07,8,19.737,21306,20594
1.998e+07,9,21.195,22367,21929
1.998e+07,10,22.892,23056,22591
1.998e+07,11,22.997,23406,22558
1.998e+07,12,22.945,23214,22224
1.998e+07,13,22.042,22646,21427
1.998e+07,14,22.004,22218,21178
1.998e+07,15,21.485,21751,20825
1.998e+07,16,21.355,21689,20643
1.998e+07,17,21.639,22178,21039
1.998e+07,18,22.994,23310,22298
1.998e+07,19,24.026,25448,24577
1.998e+07,20,24.066,25090,24295
1.998e+07,21,24.048,23995,23017
1.998e+07,22,22.288,22503,21562
1.998e+07,23,21.237,20574,19806
1.998e+07,24,18.997,18816,18133
1.998e+07,1,17.994,17878,16611
1.998e+07,2,16.409,17298,16256
1.998e+07,3,15.707,17072,16199
1.998e+07,4,15.006,16845,16142
1.998e+07,5,14.029,16868,16368
1.998e+07,6,15.004,17467,16816
1.998e+07,7,15.104,17808,17724
1.998e+07,8,17.266,18744,18684
1.998e+07,9,19.736,19832,19676
1.998e+07,10,20.996,20789,20203
1.998e+07,11,21.581,21329,20483
1.998e+07,12,21.994,21493,20508
1.998e+07,13,21.437,21385,20162
1.998e+07,14,21,20974,19790
1.998e+07,15,20.999,20754,19474
1.998e+07,16,20.999,20692,19658
1.998e+07,17,20.999,20881,20239
1.998e+07,18,22.77,21386,20681
1.998e+07,19,23.497,22317,22174
1.998e+07,20,24.648,25007,23133
1.998e+07,21,24.981,24473,22259
1.998e+07,22,23.495,22857,20522
1.998e+07,23,22.498,20533,18516
1.998e+07,24,19.558,18609,17087
