Date,Price
1/3/2001,12.99
1/4/2001,12.99
1/5/2001,12.99
1/6/2001,12.99
1/7/2001,12.99
1/8/2001,12.99
1/9/2001,12.99
1/10/2001,12.99
1/11/2001,12.99
1/12/2001,12.99
1/1/2002,12.68
1/2/2002,12.68
1/3/2002,12.68
1/4/2002,12.68
1/5/2002,12.68
1/6/2002,12.68
1/7/2002,12.68
1/8/2002,12.68
1/9/2002,12.68
1/10/2002,12.68
1/11/2002,12.68
1/12/2002,12.68
1/1/2003,13.82
1/2/2003,13.82
1/3/2003,13.82
1/4/2003,13.82
1/5/2003,13.82
1/6/2003,13.82
1/7/2003,13.82
1/8/2003,13.82
1/9/2003,13.82
1/10/2003,13.82
1/11/2003,13.82
1/12/2003,13.82
1/1/2004,16.39
1/2/2004,16.39
1/3/2004,16.39
1/4/2004,16.39
1/5/2004,16.39
1/6/2004,16.39
1/7/2004,16.39
1/8/2004,16.39
1/9/2004,16.39
1/10/2004,16.39
1/11/2004,16.39
1/12/2004,16.39
1/1/2005,28.11
1/2/2005,28.11
1/3/2005,28.11
1/4/2005,28.11
1/5/2005,28.11
1/6/2005,28.11
1/7/2005,28.11
1/8/2005,28.11
1/9/2005,28.11
1/10/2005,28.11
1/11/2005,28.11
1/12/2005,28.11
1/1/2006,33.45
1/2/2006,33.45
1/3/2006,33.45
1/4/2006,33.45
1/5/2006,33.45
1/6/2006,33.45
1/7/2006,33.45
1/8/2006,33.45
1/9/2006,33.45
1/10/2006,33.45
1/11/2006,33.45
1/12/2006,33.45
1/1/2007,36.63
1/2/2007,36.63
1/3/2007,36.63
1/4/2007,36.63
1/5/2007,36.63
1/6/2007,36.63
1/7/2007,36.63
1/8/2007,36.63
1/9/2007,36.63
1/10/2007,36.63
1/11/2007,36.63
1/12/2007,36.63
1/1/2008,60.8
1/2/2008,60.8
1/3/2008,60.8
1/4/2008,60.8
1/5/2008,60.8
1/6/2008,60.8
1/7/2008,60.8
1/8/2008,60.8
1/9/2008,60.8
1/10/2008,60.8
1/11/2008,60.8
1/12/2008,69.98
1/1/2009,72.51
1/2/2009,75.59
1/3/2009,64.07
1/4/2009,59.78
1/5/2009,62.69
1/6/2009,71.66
1/7/2009,83.95
1/8/2009,97.67
1/9/2009,80.71
1/10/2009,86.79
1/11/2009,99.26
1/12/2009,105.25
1/1/2010,125.91
1/2/2010,127.62
1/3/2010,139.77
1/4/2010,172.47
1/5/2010,161.35
1/6/2010,143.63
1/7/2010,126.36
1/8/2010,145.34
1/9/2010,140.63
1/10/2010,148.48
1/11/2010,160.55
1/12/2010,168.53
1/1/2011,179.63
1/2/2011,187.18
1/3/2011,169.36
1/4/2011,179.26
1/5/2011,177.09
1/6/2011,170.88
1/7/2011,172.98
1/8/2011,177.45
1/9/2011,177.23
1/10/2011,150.43
1/11/2011,135.54
1/12/2011,136.45
1/1/2012,140.35
1/2/2012,140.4
1/3/2012,144.66
1/4/2012,147.65
1/5/2012,136.27
1/6/2012,134.62
1/7/2012,127.94
1/8/2012,107.8
1/9/2012,99.47
1/10/2012,113.95
1/11/2012,120.35
1/12/2012,128.87
1/1/2013,150.49
1/2/2013,154.64
1/3/2013,139.87
1/4/2013,137.39
1/5/2013,124.01
1/6/2013,114.81
1/7/2013,127.19
1/8/2013,137.06
1/9/2013,134.19
1/10/2013,132.57
1/11/2013,136.32
1/12/2013,135.79
1/1/2014,128.12
1/2/2014,121.37
1/3/2014,111.83
1/4/2014,114.58
1/5/2014,100.56
1/6/2014,92.74
1/7/2014,95.97
1/8/2014,92.63
1/9/2014,82.27
1/10/2014,80.09
1/11/2014,73.12
1/12/2014,68.8
1/1/2015,67.39
1/2/2015,62.69
1/3/2015,56.94
1/4/2015,51.15
1/5/2015,60.23
1/6/2015,62.29
1/7/2015,51.5
1/8/2015,55.38
1/9/2015,56.43
1/10/2015,52.74
1/11/2015,46.16
1/12/2015,39.6
1/1/2016,41.25
1/2/2016,46.18
1/3/2016,55.52
1/4/2016,59.58
1/5/2016,54.85
1/6/2016,51.36
1/7/2016,56.57
1/8/2016,60.47
1/9/2016,56.67
1/10/2016,58.02
1/11/2016,72.25
1/12/2016,79.43
1/1/2017,80.82
1/2/2017,88.8
1/3/2017,87.2
1/4/2017,70.4
1/5/2017,61.63
1/6/2017,57.86
1/7/2017,66.43
1/8/2017,75.1
1/9/2017,69.69
1/10/2017,60.38
1/11/2017,63.21
1/12/2017,71.28
1/1/2018,75.84
1/2/2018,77.48
1/3/2018,69.72
1/4/2018,65.3
1/5/2018,66.66
1/6/2018,65.11
1/7/2018,63.58
1/8/2018,67.87
1/9/2018,68.28
1/10/2018,70.79
1/11/2018,74.17
1/12/2018,67.82
1/1/2019,74.3
1/2/2019,80.08
1/3/2019,85.75
